S. No.,Observation Date,Water Level (In M),Live Capacity (In M.cum)
1,14-10-2021,347.39,378.79
2,13-10-2021,347.45,382.49
3,12-10-2021,347.51,386.19
4,11-10-2021,347.56,389.28
6,10-10-2021,347.61,392.36
8,09-10-2021,347.71,398.53
18,08-10-2021,347.71,398.53
19,07-10-2021,347.77,402.23
20,06-10-2021,347.81,404.7
21,05-10-2021,347.86,407.78
22,04-10-2021,347.92,411.48
23,03-10-2021,347.96,413.95
24,02-10-2021,348,416.42
25,01-10-2021,348.04,419.62
26,30-09-2021,348.07,422.03
27,29-09-2021,348.1,424.43
28,28-09-2021,348.12,426.04
29,27-09-2021,348.12,426.04
30,26-09-2021,348.11,425.23
31,25-09-2021,348.02,418.02
32,24-09-2021,347.95,413.33
34,23-09-2021,347.94,412.71
36,22-09-2021,347.92,411.48
38,21-09-2021,347.87,408.4
39,20-09-2021,347.83,405.93
41,19-09-2021,347.78,402.85
43,18-09-2021,347.69,397.29
45,17-09-2021,347.52,386.81
46,16-09-2021,347.21,367.69
49,15-09-2021,346.92,349.6
51,14-09-2021,346.82,343.19
54,13-09-2021,346.76,339.34
55,12-09-2021,346.7,335.49
56,11-09-2021,346.58,327.79
57,10-09-2021,346.48,321.38
58,09-09-2021,346.31,310.47
59,08-09-2021,346.17,301.49
61,07-09-2021,346.15,300.21
63,06-09-2021,346.1,297
64,05-09-2021,346.04,293.15
65,04-09-2021,345.88,283.85
66,03-09-2021,345.83,281.04
68,02-09-2021,345.82,280.48
70,01-09-2021,345.77,277.68
72,31-08-2021,345.72,274.87
74,30-08-2021,345.6,268.13
75,29-08-2021,345.52,263.64
76,28-08-2021,345.52,263.64
77,27-08-2021,345.51,263.08
78,26-08-2021,345.49,261.96
79,25-08-2021,345.48,261.4
80,24-08-2021,345.48,261.4
81,23-08-2021,345.48,261.4
82,21-08-2021,345.41,257.47
83,20-08-2021,345.38,255.78
84,19-08-2021,345.34,253.54
86,18-08-2021,345.26,249.05
88,17-08-2021,345.24,247.93
90,16-08-2021,345.23,247.36
91,15-08-2021,345.22,246.8
93,14-08-2021,345.2,245.68
95,13-08-2021,345.19,245.12
96,12-08-2021,345.16,243.44
97,11-08-2021,345.1,240.07
98,10-08-2021,344.9,229.09
99,09-08-2021,344.83,225.33
100,08-08-2021,344.74,220.5
101,07-08-2021,344.64,215.14
102,06-08-2021,344.38,201.19
103,05-08-2021,344.12,187.23
104,04-08-2021,343.98,179.96
105,03-08-2021,343.94,178.28
106,02-08-2021,343.79,171.99
107,01-08-2021,343.73,169.47
109,31-07-2021,343.7,168.21
110,30-07-2021,343.69,167.79
111,29-07-2021,343.69,167.79
112,28-07-2021,343.68,167.37
113,27-07-2021,343.52,160.66
115,25-07-2021,343.48,158.98
116,24-07-2021,343.33,152.69
118,23-07-2021,343.42,156.46
119,22-07-2021,343.54,161.5
120,21-07-2021,343.66,166.53
121,20-07-2021,343.78,171.57
122,19-07-2021,343.9,176.6
123,17-07-2021,344.09,185.62
124,16-07-2021,344.17,189.92
125,15-07-2021,344.25,194.21
126,14-07-2021,344.32,197.97
127,13-07-2021,344.38,201.19
128,12-07-2021,344.44,204.41
129,11-07-2021,344.51,208.16
130,10-07-2021,344.57,211.38
131,09-07-2021,344.63,214.6
132,08-07-2021,344.67,216.75
133,07-07-2021,344.7,218.36
134,06-07-2021,344.72,219.43
135,05-07-2021,344.72,219.43
136,04-07-2021,344.72,219.43
137,03-07-2021,344.72,219.43
138,02-07-2021,344.72,219.43
139,01-07-2021,344.72,219.43
140,30-06-2021,344.72,219.43
141,29-06-2021,344.72,219.43
142,28-06-2021,344.72,219.43
143,27-06-2021,344.7,218.36
144,26-06-2021,344.64,215.14
145,25-06-2021,344.54,209.77
146,24-06-2021,344.32,197.97
147,23-06-2021,344.3,196.89
148,22-06-2021,344.3,196.89
149,21-06-2021,344.3,196.89
151,20-06-2021,344.3,196.89
153,18-06-2021,344.22,192.6
154,17-06-2021,344.22,192.6
156,16-06-2021,344.22,192.6
157,15-06-2021,344.21,192.06
159,14-06-2021,344.19,190.99
160,11-06-2021,344.1,186.16
161,10-06-2021,344.07,184.55
162,08-06-2021,344.07,184.55
163,05-06-2021,344.08,185.09
164,04-06-2021,344.09,185.62
165,03-06-2021,344.09,185.62
166,02-06-2021,344.1,186.16
