S. No.,Observation Date,Water Level (In M),Live Capacity (In M.cum)
1,14-03-2021,453.55,37.17
2,13-10-2020,460,278
3,09-10-2020,460.08,280.88
4,08-10-2020,460.1,281.61
5,07-10-2020,460.12,282.33
6,06-10-2020,460.13,282.69
7,05-10-2020,460.15,283.41
8,03-10-2020,460.2,285.22
9,02-10-2020,460.25,287.03
10,01-10-2020,460.35,290.64
11,30-09-2020,460.37,291.36
12,29-09-2020,460.39,292.08
14,27-09-2020,460.43,293.53
15,26-09-2020,460.43,293.53
16,25-09-2020,460.4,292.44
17,23-09-2020,460.17,284.14
19,22-09-2020,460.17,284.14
21,16-09-2020,460.2,285.22
22,13-09-2020,460.18,284.5
23,11-09-2020,460.25,287.03
24,10-09-2020,460.17,284.14
25,09-09-2020,460.17,284.14
26,08-09-2020,460.2,285.22
27,07-09-2020,460.25,287.03
28,05-09-2020,460.35,290.64
29,04-09-2020,460.4,292.44
30,03-09-2020,460.4,292.44
31,02-09-2020,460.38,291.72
32,01-09-2020,460.4,292.44
34,31-08-2020,460.43,293.53
35,30-08-2020,459.97,276.15
36,29-08-2020,459.25,231.86
38,28-08-2020,458.93,213.15
39,27-08-2020,458.9,211.73
40,26-08-2020,458.88,210.78
41,25-08-2020,458.85,209.35
42,24-08-2020,458.83,208.41
43,23-08-2020,458.8,206.98
45,22-08-2020,458.5,192.74
47,21-08-2020,457.6,152.85
48,19-08-2020,457.53,150.02
49,18-08-2020,457.5,148.81
50,17-08-2020,457.48,148
51,16-08-2020,457.45,146.79
52,15-08-2020,457.45,146.79
53,14-08-2020,457.45,146.79
54,13-08-2020,457.4,144.77
55,12-08-2020,457.35,142.75
56,11-08-2020,457.07,131.43
57,10-08-2020,457.05,130.63
58,09-08-2020,457.05,130.63
59,08-08-2020,457.05,130.63
60,07-08-2020,457.02,129.41
61,06-08-2020,457,128.61
62,05-08-2020,456.98,127.93
64,04-08-2020,456.87,124.21
65,03-08-2020,456.87,124.21
67,01-08-2020,456.88,124.55
68,31-07-2020,456.88,124.55
70,30-07-2020,456.9,125.22
71,29-07-2020,456.9,125.22
72,28-07-2020,456.9,125.22
73,27-07-2020,456.9,125.22
74,26-07-2020,456.9,125.22
75,25-07-2020,456.9,125.22
76,24-07-2020,456.9,125.22
77,23-07-2020,456.9,125.22
78,22-07-2020,456.9,125.22
79,21-07-2020,456.9,125.22
80,20-07-2020,456.88,124.55
81,19-07-2020,456.88,124.55
82,18-07-2020,456.88,124.55
83,17-07-2020,456.88,124.55
85,16-07-2020,456.88,124.55
86,15-07-2020,456.88,124.55
88,13-07-2020,456.85,123.53
89,12-07-2020,456.8,121.84
90,11-07-2020,456.8,121.84
91,10-07-2020,456.8,121.84
92,09-07-2020,456.8,121.84
93,08-07-2020,456.8,121.84
94,07-07-2020,456.8,121.84
95,06-07-2020,456.78,121.17
96,05-07-2020,456.7,118.46
97,04-07-2020,456.65,116.77
98,03-07-2020,456.63,116.1
99,02-07-2020,456.63,116.1
100,01-07-2020,456.63,116.1
101,30-06-2020,456.62,115.76
102,29-06-2020,456.6,115.08
103,28-06-2020,456.58,114.4
104,27-06-2020,456.4,108.32
105,26-06-2020,456.3,104.94
106,25-06-2020,456.27,103.92
107,24-06-2020,456.25,103.25
108,23-06-2020,456.15,99.87
110,22-06-2020,456.1,98.18
114,21-06-2020,456.05,96.49
115,20-06-2020,456,94.8
116,19-06-2020,455.75,87.86
117,18-06-2020,455,67.05
118,17-06-2020,454.95,65.94
120,19-04-2020,455,67.05
121,03-03-2020,455.85,90.63
123,06-01-2020,458.78,206.03
124,01-01-2020,458.87,210.3
125,30-12-2019,458.87,210.3
126,27-12-2019,458.95,214.1
127,23-12-2019,459.09,222.01
128,12-12-2019,459.27,233.09
129,10-12-2019,459.3,234.93
130,11-10-2019,460.4,292.44
131,10-10-2019,460.42,293.17
132,09-10-2019,460.46,294.61
133,08-10-2019,460.5,296.06
135,07-10-2019,460.55,297.86
136,06-10-2019,460.61,300.03
138,05-10-2019,460.67,302.2
140,04-10-2019,460.75,305.09
141,03-10-2019,460.8,306.89
143,02-10-2019,460.82,307.62
144,01-10-2019,460.81,307.26
145,30-09-2019,460.9,310.51
147,29-09-2019,460.97,313.04
149,28-09-2019,461.01,314.23
151,27-09-2019,461.07,314.9
152,26-09-2019,461.16,315.9
153,25-09-2019,461.28,317.23
154,24-09-2019,461.4,318.57
156,23-09-2019,461.5,319.68
159,22-09-2019,461.6,320.79
161,21-09-2019,461.68,321.68
162,20-09-2019,461.85,323.57
163,19-09-2019,461.9,324.13
164,18-09-2019,462.11,326.46
165,17-09-2019,462,325.24
166,16-09-2019,462.17,327.13
167,15-09-2019,462.32,328.8
168,14-09-2019,462.38,329.47
169,13-09-2019,462.5,330.8
170,12-09-2019,462.41,329.8
171,11-09-2019,462.41,329.8
172,10-09-2019,462.22,327.69
173,09-09-2019,461.68,321.68
175,08-09-2019,460.91,310.87
176,07-09-2019,460.82,307.62
177,06-09-2019,460.8,306.89
178,05-09-2019,460.73,304.37
180,04-09-2019,460.65,301.48
182,03-09-2019,460.46,294.61
183,02-09-2019,460.46,294.61
184,01-09-2019,460.38,291.72
185,31-08-2019,460.23,286.3
187,30-08-2019,460.15,283.41
190,29-08-2019,459.61,254
192,28-08-2019,459.61,254
194,27-08-2019,459.61,254
197,26-08-2019,459.5,247.24
199,25-08-2019,459,216.48
202,24-08-2019,459,216.48
204,23-08-2019,458.84,208.88
206,22-08-2019,458.8,206.98
212,21-08-2019,458.76,205.08
214,20-08-2019,458.72,203.18
216,19-08-2019,458.65,199.86
217,18-08-2019,458.6,197.49
218,17-08-2019,458.55,195.11
220,16-08-2019,458.35,185.62
221,15-08-2019,457.96,167.39
223,14-08-2019,457.26,139.11
224,13-08-2019,457.1,132.65
225,12-08-2019,457.03,129.82
227,11-08-2019,456.96,127.25
228,10-08-2019,456.84,123.2
229,09-08-2019,456.6,115.08
232,08-08-2019,456.1,98.18
233,07-08-2019,455.89,91.74
238,06-08-2019,455.7,86.47
241,05-08-2019,455.6,83.7
251,04-08-2019,455.4,78.15
252,03-08-2019,455.3,75.37
261,02-08-2019,455.18,72.04
263,01-08-2019,455.06,68.71
264,31-07-2019,454.7,60.39
266,30-07-2019,454,44.88
267,29-07-2019,453.72,40.08
275,28-07-2019,453.14,30.15
279,27-07-2019,452.69,23.86
281,26-07-2019,452.67,23.61
283,25-07-2019,452.65,23.36
285,24-07-2019,452.65,23.36
287,23-07-2019,452.65,23.36
288,22-07-2019,452.65,23.36
289,21-07-2019,452.65,23.36
290,20-07-2019,452.65,23.36
292,19-07-2019,452.65,23.36
294,18-07-2019,452.65,23.36
296,17-07-2019,452.65,23.36
297,16-07-2019,452.65,23.36
298,15-07-2019,452.65,23.36
299,14-07-2019,452.65,23.36
300,13-07-2019,452.65,23.36
303,12-07-2019,452.65,23.36
304,11-07-2019,452.65,23.36
306,10-07-2019,452.65,23.36
311,09-07-2019,452.6,22.73
312,08-07-2019,452.55,22.1
315,07-07-2019,452.4,20.22
316,06-07-2019,452.33,19.34
318,05-07-2019,452.3,18.96
319,04-07-2019,452.27,18.59
321,03-07-2019,452.23,18.08
322,02-07-2019,452.1,16.45
323,01-07-2019,452.08,16.2
327,29-06-2019,452.08,16.2
329,28-06-2019,452.08,16.2
332,27-06-2019,452.08,16.2
334,26-06-2019,452.08,16.2
335,25-06-2019,452.08,16.2
336,24-06-2019,452.08,16.2
337,23-06-2019,452.09,16.33
338,22-06-2019,452.1,16.45
